doc_id;titre;origine;date;statut
parcours_informatique;Parcours informatiques et télécommunications (ESIIA, ISAIA, IMTICIA, IGGLIA);Brochure ISPM / sujet d'examen;2025;institutionnel
parcours_affaires;Parcours techniques des affaires (CAA, FIC, DTJA, EMP);Brochure ISPM / sujet d'examen;2025;institutionnel
parcours_biotech;Parcours biotechnologie et agronomie (IAA, PIP, AEE);Brochure ISPM / sujet d'examen;2025;institutionnel
parcours_genie;Parcours génie industriel et génie civil (EMII, GCA, ICMP);Brochure ISPM / sujet d'examen;2025;institutionnel
parcours_tourisme;Parcours techniques du tourisme (TEE, TEH);Brochure ISPM / sujet d'examen;2025;institutionnel
admission_prerequis;Conditions d'admission et prérequis généraux;Règlement pédagogique ISPM;2024;officiel
